Vulaines-sur-Seine,77,77533,48.4316360223,2.7693476397
Fay-lès-Nemours,77,77178,48.2276874711,2.66412171118
Mesnil-le-Roi,78,78396,48.9257999518,2.1221732386
Gouzangrez,95,95282,49.113864439,1.90836879616
Saint-Martin-en-Bière,77,77425,48.4342403607,2.57483458282
Arville,77,77009,48.1812755865,2.55657978
Crégy-lès-Meaux,77,77143,48.9776563538,2.87369096046
Bréançon,95,95102,49.1493481193,2.02307108872
Vaires-sur-Marne,77,77479,48.8697812117,2.63565952774
Epiais-lès-Louvres,95,95212,49.030193287,2.54884090855
Viry-Châtillon,91,91687,48.6696168935,2.37374357641
Ablon-sur-Seine,94,94001,48.7238409464,2.42117629348
Bois-Herpin,91,91075,48.3717921411,2.24398863454
Rochefort-en-Yvelines,78,78522,48.5924280148,1.97977823093
Vinantes,77,77525,49.0033668902,2.73993236891
Mousseaux-lès-Bray,77,77321,48.3959388077,3.22954318005
Ormesson-sur-Marne,94,94055,48.7854562744,2.53924214317
Héricy,77,77226,48.4418336444,2.7894248816
Vaudoy-en-Brie,77,77486,48.6975609206,3.08246340296
Chapelle-Rablais (la),77,77089,48.5059176558,2.96075561449
Sucy-en-Brie,94,94071,48.7656456593,2.5330560803
Ecuelles,77,77166,48.3579378579,2.8311102415
Montgeron,91,91421,48.6951531801,2.46249881778
Châtres,77,77104,48.7127586287,2.8158417118
Jouy-Mauvoisin,78,78324,48.9744681009,1.64659377662
Bourdonné,78,78096,48.7543239729,1.65394025504
Fleury-Mérogis,91,91235,48.6333048682,2.36825308788
Neuilly-en-Vexin,95,95447,49.1737847677,1.98023153343
Bruyères-le-Châtel,91,91115,48.600315457,2.18687041469
Montcourt-Fromonville,77,77302,48.2991784842,2.71237772012
Courgent,78,78185,48.8957168468,1.65941323514
Villenauxe-la-Petite,77,77507,48.4004012721,3.31327470557
Tombe (la),77,77467,48.3867483242,3.09357430759
Maurepas,78,78383,48.7698393561,1.92404037065
Nantouillet,77,77332,49.0009752296,2.70169532567
Us,95,95625,49.1048076828,1.95764610139
Valpuiseaux,91,91629,48.3922279636,2.30328757315
Nointel,95,95452,49.1288691946,2.29434375998
Allainville,78,78009,48.4678049422,1.90248656235
Mesnuls (les),78,78398,48.754542649,1.83436184333
Coubron,93,93015,48.9176519555,2.57631231652
Mennecy,91,91386,48.5586242184,2.43753236038
Gournay-sur-Marne,93,93033,48.8605817902,2.57543313796
Brétigny-sur-Orge,91,91103,48.6025113399,2.3021623232
Ville-du-Bois (la),91,91665,48.6610194975,2.26503430984
Arrancourt,91,91022,48.3267041104,2.15155534916
Echouboulains,77,77164,48.4637199643,2.92959930761
Suresnes,92,92073,48.8698479132,2.21965517625
Jouarre,77,77238,48.9025410128,3.11280532504
Crisenoy,77,77145,48.6032562685,2.74469618837
Grande-Paroisse (la),77,77210,48.3917544483,2.89831742058
Perchay (le),95,95483,49.1164053302,1.92739087092
Montolivet,77,77314,48.8279632534,3.43159250475
Episy,77,77170,48.3316203245,2.79304684354
Gagny,93,93032,48.8820763119,2.5449484757
Saint-Cyr-sous-Dourdan,91,91546,48.5655061412,2.03782109729
